,Genus,value,Type
375,Nocardioides,NA,PC04924-MSA1002_Diff
376,Nosocomiicoccus,NA,PC04924-MSA1002_Diff
377,Odoribacter,NA,PC04924-MSA1002_Diff
378,Oribacterium,NA,PC04924-MSA1002_Diff
379,Oscillibacter,NA,PC04924-MSA1002_Diff
380,Oscillospira,NA,PC04924-MSA1002_Diff
381,Other,NA,PC04924-MSA1002_Diff
382,Papillibacter,NA,PC04924-MSA1002_Diff
383,Paracoccus,NA,PC04924-MSA1002_Diff
384,Parasutterella,NA,PC04924-MSA1002_Diff
385,Pedobacter,NA,PC04924-MSA1002_Diff
386,Peptoniphilus,NA,PC04924-MSA1002_Diff
387,Phascolarctobacterium,NA,PC04924-MSA1002_Diff
388,Phenylobacterium,NA,PC04924-MSA1002_Diff
389,Porphyromonas,NA,PC04924-MSA1002_Diff
390,Prevotella,NA,PC04924-MSA1002_Diff
391,Pseudobutyrivibrio,NA,PC04924-MSA1002_Diff
392,Rhizobium,NA,PC04924-MSA1002_Diff
393,Roseburia,NA,PC04924-MSA1002_Diff
394,Rothia,NA,PC04924-MSA1002_Diff
395,Rubellimicrobium,NA,PC04924-MSA1002_Diff
396,Ruminococcus,NA,PC04924-MSA1002_Diff
397,Salinarimonas,NA,PC04924-MSA1002_Diff
398,Scardovia,NA,PC04924-MSA1002_Diff
399,Sediminibacterium,NA,PC04924-MSA1002_Diff
400,Solobacterium,NA,PC04924-MSA1002_Diff
401,Sphingomonas,NA,PC04924-MSA1002_Diff
402,Stomatobaculum,NA,PC04924-MSA1002_Diff
403,Succiniclasticum,NA,PC04924-MSA1002_Diff
404,Sutterella,NA,PC04924-MSA1002_Diff
405,Synergistes,NA,PC04924-MSA1002_Diff
406,Thalassospira,NA,PC04924-MSA1002_Diff
407,Treponema,NA,PC04924-MSA1002_Diff
408,Turicibacter,NA,PC04924-MSA1002_Diff
409,uncultured,NA,PC04924-MSA1002_Diff
410,Veillonella,NA,PC04924-MSA1002_Diff
411,Weissella,NA,PC04924-MSA1002_Diff
412,Acinetobacter,112.0950752,PC04924-MSA1003_Diff
